airline_sentiment,airline_sentiment_confidence,negativereason,airline,name,text,tweet_created,tweet_location,user_timezone
negative,1.0,Customer Service Issue,United,WM_j_MW,@united 25 min hold has now progressed to over an hour...919-675-0985,2015-02-21 21:18:54-08:00,"Wake Forest, NC",Eastern Time (US & Canada)
negative,1.0,Can't Tell,United,WM_j_MW,@united YOU SUCK!,2015-02-21 21:17:15-08:00,"Wake Forest, NC",Eastern Time (US & Canada)
negative,0.7087,Can't Tell,United,_BenHoffman_,"@united yo, you need a new website really badly. This day and age...",2015-02-21 21:15:51-08:00,"Venice, CA",Central Time (US & Canada)
neutral,1.0,,United,kreespa,@united if I was rebooked do I have to pick up my luggage?,2015-02-21 21:15:42-08:00,Little Rhody,Eastern Time (US & Canada)
negative,1.0,Late Flight,United,Blondiemcl6,@united how can u not have gate ready or gate agent for going on hour two,2015-02-21 21:13:39-08:00,somerville nj,Central Time (US & Canada)
negative,0.6809,Bad Flight,United,jackiehoglund,@united just DM'd,2015-02-21 21:11:21-08:00,"Boston, MA",Quito
negative,1.0,Flight Booking Problems,United,kreespa,@united had a different fiasco on my outward trip and was rebooked on to qantas lax-Syd. No FF miles show up in my account for that :(,2015-02-21 21:09:36-08:00,Little Rhody,Eastern Time (US & Canada)
neutral,0.68,,United,jackiehoglund,@united I am following - you need to follow me for DM?,2015-02-21 21:09:04-08:00,"Boston, MA",Quito
negative,1.0,Customer Service Issue,United,Fader_Jockey,@united it would be great to get a callback from the agent that disconnected me trying to put me on hold after waiting to connectfor 60+min,2015-02-21 21:08:56-08:00,"Chicago, IL",Central Time (US & Canada)
negative,1.0,Late Flight,United,Blondiemcl6,"@united not a good day to fly u, two delayed flights still on plane at Ewr waiting over 1,5 hours for gate get to gate no gate agent.",2015-02-21 21:08:53-08:00,somerville nj,Central Time (US & Canada)
neutral,0.6655,,United,kreespa,@united just called and did it. Should have earlier because I'm being sent to DCA first and THEN to pvd. We may rent a car instead.,2015-02-21 21:03:02-08:00,Little Rhody,Eastern Time (US & Canada)
neutral,1.0,,United,AMMBoman,@united I went from Sacramento to Minneapolis at the end of October 2014 in business class.,2015-02-21 20:52:31-08:00,Kaizen 改善,Arizona
negative,1.0,Customer Service Issue,United,hannahcbeck,@united I'm extremely disappointed w my service for this trip as a #United #MileagePlus Explorer Card holder.,2015-02-21 20:47:27-08:00,"Hoboken, NJ",Eastern Time (US & Canada)
positive,1.0,,United,mrp,@united such a relaxing space for a drink before my flight! (at @United Global First Lounge) https://t.co/j4cj0lrF2d http://t.co/dTLGUQ1kAk,2015-02-21 20:45:08-08:00,sf - austin - sydney,Alaska
negative,0.6774,Late Flight,United,kreespa,"@united considering I'm now stuck in Newark with virtually sleep in 30+ hours, I doubt it :/ hope car rentals are available",2015-02-21 20:16:16-08:00,Little Rhody,Eastern Time (US & Canada)
positive,0.6593,,United,dHowITzr,@united What a really GREAT &amp; FLATTERING story about you! You should be very proud :) http://t.co/7br5t5QCXk (via @ParachuteGuy),2015-02-21 20:05:05-08:00,"Toronto, Canada",Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,United,ambersings,@united Airline SUCKS! Customer Service SUCKS! NO courtesy! Incompetent - passengers do NOT matter- Bet the CEO is just doing fine though!,2015-02-21 20:02:19-08:00,New York,Pacific Time (US & Canada)
negative,0.6809,Cancelled Flight,United,kimbatronic,@united do you expect to Cancelled Flight flights out of @DENAirport tomorrow morning given the storm?,2015-02-21 19:59:27-08:00,San Francisco,Pacific Time (US & Canada)
negative,0.6779999999999999,Bad Flight,United,tech_henrywong,@United Can you increase the legroom? : How airlines compare http://t.co/diUfep8n2q via @CNNMoney,2015-02-21 19:49:28-08:00,Greater Seattle Area,Pacific Time (US & Canada)
negative,1.0,Flight Booking Problems,United,independentid,"@united on a 4 seg flt yvr to zurich, why would you credit all miles and but only 2 segs on full fare?",2015-02-21 19:48:17-08:00,"Vancouver, Canada",Pacific Time (US & Canada)
negative,1.0,Bad Flight,United,ScottyNeuman,@united 6377 and now they sent our green tagged bags to the luggage carousel. It's been one mess up after another. Bad day @united,2015-02-21 19:45:37-08:00,"Montana, God's country
",Pacific Time (US & Canada)
negative,1.0,Flight Attendant Complaints,United,suntoshi,@united the lounge tells us they have no pillows for my grandma as one of the ladies opens the closet and I see 2 right there. #unitedlies,2015-02-21 19:43:50-08:00,"Bedford, Nh",Eastern Time (US & Canada)
negative,1.0,Flight Attendant Complaints,United,D4Duskes,@united who compensates is for the delays caused by the fact that you don't have enough flight attendants?? http://t.co/96apr35qan,2015-02-21 19:33:07-08:00,Montreal,Eastern Time (US & Canada)
neutral,0.6745,,United,jackiehoglund,@united traveling with 3 young kids!! Chose our original flights for a reason.,2015-02-21 19:28:59-08:00,"Boston, MA",Quito
negative,1.0,Can't Tell,United,jackiehoglund,@united have since dropped to 2 layovers but still not acceptable.,2015-02-21 19:28:44-08:00,"Boston, MA",Quito
negative,1.0,Bad Flight,United,jackiehoglund,@united our 1 layover itinerary was swapped for a 3 layover itinerary - really?!?,2015-02-21 19:28:31-08:00,"Boston, MA",Quito
negative,1.0,Late Flight,United,jackiehoglund,@united not completely.  Our flight was changed in July but we never received notification.,2015-02-21 19:28:11-08:00,"Boston, MA",Quito
negative,0.6988,Cancelled Flight,United,Colettod,@united Wife and I have two new destinations and I'm stuck in DC until Monday with no bags,2015-02-21 19:22:30-08:00,"Ottawa, ON",Eastern Time (US & Canada)
negative,0.6629999999999999,Lost Luggage,United,Colettod,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,2015-02-21 19:21:55-08:00,"Ottawa, ON",Eastern Time (US & Canada)
negative,0.6572,Customer Service Issue,United,ssegraves,@united can you make sure I’m on the upgrade list for 2/23 EWR-PDX using my GPU priority? Got a weird email about it.,2015-02-21 19:21:17-08:00,PDX / LGA / TXL / ✈,Central Time (US & Canada)
negative,0.684,Customer Service Issue,United,Jo_Frost,"@united when I read it say ' in some cases' can you please define this for me, when for example would it not be the case?",2015-02-21 19:12:51-08:00,Global,Quito
negative,1.0,Can't Tell,United,stevestillalive,@united why don't you ever print my known #traveler number on my ticket? Because of this I never get to use the #TSA prescreen I paid for,2015-02-21 19:01:41-08:00,"San Diego, CA",Pacific Time (US & Canada)
neutral,0.6414,,United,patrick_maness,"@united After all I have been through on this trip, can you get me on another airline home?",2015-02-21 19:00:43-08:00,Rhode Island,Eastern Time (US & Canada)
negative,1.0,Cancelled Flight,United,keithdunn,@united flight was Cancelled Flighted after the last opportunity to rebook us on other flights this evening passed.,2015-02-21 18:59:47-08:00,"arlington, va",Eastern Time (US & Canada)
negative,0.6702,longlines,United,stevestillalive,@united boarding a #plane would be much faster if you boarded back to front instead of front to back #MakesSense #efficiency #travel #flying,2015-02-21 18:59:38-08:00,"San Diego, CA",Pacific Time (US & Canada)
negative,1.0,Flight Attendant Complaints,United,ZachAlpert,"@united it's 9:56, and the desk attendant stated we would ""sit awhile"" until given the all clear. Lack of communication seems to the norm.",2015-02-21 18:57:31-08:00,"Chicago, IL",Central Time (US & Canada)
negative,1.0,Can't Tell,United,Sean_Stamos,@united had been suffering immensely ever since this merge .. Hopefully I'll never have to fly @united ever again ..,2015-02-21 18:57:05-08:00,Coastal,Eastern Time (US & Canada)
negative,1.0,Late Flight,United,Sean_Stamos,@united possibly the worst airlineGave them three chances Second time in 2 weeks a flight has been delayed and or Cancelled Flightled due to mechanics,2015-02-21 18:54:36-08:00,Coastal,Eastern Time (US & Canada)
negative,0.6762,Flight Attendant Complaints,United,patrick_maness,@united My contact stuff is in the bag and I'm legally blind. This is so messed up.,2015-02-21 18:49:24-08:00,Rhode Island,Eastern Time (US & Canada)
negative,1.0,Lost Luggage,United,patrick_maness,@united Did I mention that I was ON THE PLANE so is my luggage. My luggage that I'm not going to have for how many days.,2015-02-21 18:48:55-08:00,Rhode Island,Eastern Time (US & Canada)
negative,1.0,Can't Tell,United,patrick_maness,@united Tell me that you're at least going to cover a room and get me out of here.,2015-02-21 18:44:54-08:00,Rhode Island,Eastern Time (US & Canada)
negative,1.0,Bad Flight,United,patrick_maness,@united OMG!!! you just bumped me off the last flight. Can this get any worse.,2015-02-21 18:44:25-08:00,Rhode Island,Eastern Time (US & Canada)
negative,1.0,Can't Tell,United,niais,@united Which just speaks to basically the worst designed web system ever.,2015-02-21 18:41:07-08:00,"Austin, TX",Central Time (US & Canada)
negative,1.0,Flight Booking Problems,United,niais,"@united Yeah, I tried that about 10 times for two different tickets, and it told me to ""Try again Late Flightr"".",2015-02-21 18:40:33-08:00,"Austin, TX",Central Time (US & Canada)
neutral,0.6774,,United,Manda_Bear_143,@united U blow,2015-02-21 18:34:24-08:00,401 SK,Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,United,MaxAbrahms,.@united Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.,2015-02-21 18:27:05-08:00,"Boston, MA",Atlantic Time (Canada)
neutral,1.0,,United,BryceHuffman,@united what's the best way to get your tickets? Print off at home or go to check in desk?,2015-02-21 18:26:45-08:00,Saskatchewan ,Mountain Time (US & Canada)
negative,1.0,Can't Tell,United,JSJ35,@united you're terrible.,2015-02-21 18:17:03-08:00,Blue Area of the Moon,Eastern Time (US & Canada)
negative,1.0,Lost Luggage,United,StephanieCarvin,@united it was eventually explained that weather conditions too extreme to get luggage off planes. Will be sent on. But I won't be for days!,2015-02-21 18:14:18-08:00,"Ottawa, Canada",Eastern Time (US & Canada)
negative,0.6923,Customer Service Issue,United,cbtadvisors,@united Anyone there? Did you read my DM?,2015-02-21 18:14:06-08:00,"Cambridge, MA, USA",Central Time (US & Canada)
negative,1.0,Late Flight,United,yajur,@united How does that make a flight takeoff on time? And regardless it makes me Late Flight because now I have to wait for my bag at baggage claim.,2015-02-21 18:11:43-08:00,Chicago,Central Time (US & Canada)
negative,1.0,Customer Service Issue,United,jackiehoglund,@united trying to get a customer service agent.  Just landed in SFO.  Can't fly with 3 layovers with 3 kids!!,2015-02-21 18:11:06-08:00,"Boston, MA",Quito
neutral,0.6437,,United,JoeRychalsky,@united why are there no early morning flights from HNL to anywhere in the continental US? Example- Monday 4/20. Need flight to PHL,2015-02-21 18:08:16-08:00,"Wilmington, Delaware",Eastern Time (US & Canada)
negative,1.0,Lost Luggage,United,richardtitus,@united nope I gave up - maybe they'll deliver it,2015-02-21 18:04:07-08:00,"San Francisco, California",London
positive,0.6997,,United,Mumon7,@united Thanks for the upgrade- please try to get my company to approve more business class travel.,2015-02-21 18:03:37-08:00,"Vancouver, WA",Pacific Time (US & Canada)
negative,1.0,Late Flight,United,ZachAlpert,@united more and more delays! No CS help at all! No notifications!,2015-02-21 18:03:27-08:00,"Chicago, IL",Central Time (US & Canada)
negative,1.0,Lost Luggage,United,SoulFreeDreams,"@united 1st u delay my flight for mechanical failure,then 2 hrs on the runway, &amp; 13 hrs Late Flightr I'm still here with a lost bag &amp; no resolution",2015-02-21 17:54:48-08:00,"Columbus,Ohio",Eastern Time (US & Canada)
negative,1.0,Can't Tell,United,SoulFreeDreams,@united is the worst,2015-02-21 17:51:28-08:00,"Columbus,Ohio",Eastern Time (US & Canada)
negative,1.0,Late Flight,United,ericjramsey,"@united...lies lies lies....still sitting at the gate, have not moved an inch http://t.co/LulGnwEfFH",2015-02-21 17:40:26-08:00,"Washington, DC",Pacific Time (US & Canada)
neutral,0.6259,,United,jyotipethe,"@united I have requested upgrade for EWR BOM flight, end of May. Miles + copay. When will i know if I am upgraded?",2015-02-21 17:38:36-08:00,"Austin, Tx",Central Time (US & Canada)
negative,1.0,Bad Flight,United,damahoff,@united &amp; finally he was told he couldnt use the front of plane restrm (he was row7) though myself/others in rows behind him used w/no issue,2015-02-21 17:38:35-08:00,"Milwaukee, WI",Central Time (US & Canada)
negative,1.0,Customer Service Issue,United,aaron_lawlor,"@united #customerservice at @Dulles_Airport could not be worse. I get the bad weather, but this is awful.",2015-02-21 17:38:03-08:00,"Vernon Hills, IL",Central Time (US & Canada)
negative,1.0,longlines,United,ZachAlpert,"@united instead of be told when we board, we have to wait for the emails telling us about the delays.",2015-02-21 17:34:48-08:00,"Chicago, IL",Central Time (US & Canada)
negative,1.0,Bad Flight,United,damahoff,"@united Additionally, my husband paid for tv service &amp; it stopped working about halfway through the flight.",2015-02-21 17:32:43-08:00,"Milwaukee, WI",Central Time (US & Canada)
negative,1.0,Flight Attendant Complaints,United,damahoff,"@united unfortunately, they didn't. I asked the staff if they could help. they said we should ask ppl in our row to switch, but no one would",2015-02-21 17:30:32-08:00,"Milwaukee, WI",Central Time (US & Canada)
negative,0.6465,Lost Luggage,United,maxcotter,@united your baggage person told me to go through @AirCanada - they're handling my connecting flight.,2015-02-21 17:28:05-08:00,toronto,Central Time (US & Canada)
negative,0.6571,Flight Booking Problems,United,majacgray,"@united Well, to the degree that he could... Just to know, after this experience I'm Cancelled Flighting my miles card. Thank god for @Delta",2015-02-21 17:25:51-08:00,"Brooklyn, NY",Eastern Time (US & Canada)
neutral,0.6904,,United,Colettod,@united could really use your help getting our bags at IAD. We're headed to YOW but now going to YXU,2015-02-21 17:22:54-08:00,"Ottawa, ON",Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,United,Jo_Frost,@united yr team have me on hold for over an hour unhelpful Pls can you answer my question.,2015-02-21 17:11:21-08:00,Global,Quito
negative,1.0,Lost Luggage,United,getpatrick,.@united Let us know when you find everyone's luggage. Thanks. #UnitedAirlines,2015-02-21 17:08:49-08:00,"Montreal, Quebec CA",Eastern Time (US & Canada)
neutral,0.6805,,United,Jo_Frost,"@united do u serve peanuts/nuts on yr flights yr policies r confusing contradictory advice Pls help #Anaphylaxis,will u ask those 2 refrain?",2015-02-21 17:08:11-08:00,Global,Quito
negative,1.0,Lost Luggage,United,hannahcbeck,"@united Still do not have my bag, it's in the CLT airport. Was originally told I would have it by 2pm.",2015-02-21 17:05:49-08:00,"Hoboken, NJ",Eastern Time (US & Canada)
neutral,0.6672,,United,BethRunsDisney,@united Yes. About an hour after landing.,2015-02-21 17:05:37-08:00,NYC,Eastern Time (US & Canada)
negative,1.0,Late Flight,United,Randy_King_SF,@united just texted me to say flight is delayed due to air traffic control. BS! They pulled the plane in Late Flight #lies,2015-02-21 17:04:47-08:00,"San Francisco, CA",Pacific Time (US & Canada)
negative,1.0,Late Flight,United,Randy_King_SF,@united website says my flight is on time. It leaves in 15 min and nobody has boarded yet. #pathetic #needtobehonest,2015-02-21 16:55:50-08:00,"San Francisco, CA",Pacific Time (US & Canada)
negative,1.0,Late Flight,United,cbtadvisors,@united From the air: Another missed cnxn 2day. ATC went on strike in Belize this AM. Now family &amp; I miss cnxn in EWR. Please see my DMs.,2015-02-21 16:55:29-08:00,"Cambridge, MA, USA",Central Time (US & Canada)
negative,1.0,Late Flight,United,Angela_Saurine,@united Flight has been delayed for another hour so only have 24 mins to transit at LAX... Extremely unlikely I will make it!,2015-02-21 16:45:05-08:00,"Sydney, Australia",Sydney
negative,1.0,longlines,United,ScottyNeuman,@united congratulations united. Fail again. Sky at a gate with a plane full of people waiting on 2. Weather gets worse now we can't leave.,2015-02-21 16:43:22-08:00,"Montana, God's country
",Pacific Time (US & Canada)
negative,1.0,Lost Luggage,United,maxcotter,"@united thank you for leaving my bag in houston! despite what your system says, i was definitely on the flight!",2015-02-21 16:42:11-08:00,toronto,Central Time (US & Canada)
negative,1.0,Late Flight,United,HPStorageGuy,@united I was rebooked thru SFO but arrive 9 hours Late Flight and miss activities. I asked to fly today with stop over. Was told I'd have to pay.,2015-02-21 16:31:13-08:00,Boise,Mountain Time (US & Canada)
negative,1.0,Can't Tell,United,JSJ35,@united never again.,2015-02-21 16:31:13-08:00,Blue Area of the Moon,Eastern Time (US & Canada)
positive,1.0,,United,minion444,@united tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR,2015-02-21 16:29:20-08:00,Central NJ,Eastern Time (US & Canada)
negative,1.0,Flight Booking Problems,United,thatchickmaggie,@united is trying to strand us in Houston until tomorrow morning. pretty sure overFlight Booking Problems and maintenance aren't our fault.,2015-02-21 16:18:06-08:00,"Washington, DC",Eastern Time (US & Canada)
negative,1.0,Bad Flight,United,ExplodingGreen,@united fire yr rep who refused to put me on a flight that I had a boarding pass and seat on. Full explanation and her name in complaint.,2015-02-21 16:08:48-08:00,"Portland, Oregon",Pacific Time (US & Canada)
positive,1.0,,United,michaelmcd,@united that's great! pls let me know when u start!,2015-02-21 16:07:55-08:00,Beijing | Los Angeles,Beijing
neutral,0.6522,,United,Abdelati786,@united @ehsanisMpowered lmfao,2015-02-21 16:07:47-08:00,Heart of America,Central Time (US & Canada)
negative,1.0,Flight Attendant Complaints,United,luko,@united you really do have a culture problem. Everyone I tried to work with blamed someone else or told me how they're short staffed,2015-02-21 16:04:29-08:00,Pittsburgh,Quito
negative,1.0,Can't Tell,United,JSJ35,@united sucks.,2015-02-21 15:58:26-08:00,Blue Area of the Moon,Eastern Time (US & Canada)
neutral,0.6325,,United,JSJ35,@united where's the crew for ua748?,2015-02-21 15:49:05-08:00,Blue Area of the Moon,Eastern Time (US & Canada)
negative,0.6565,Can't Tell,United,ZachAlpert,@united quality work going on here. http://t.co/9xbO5daKaK,2015-02-21 15:42:56-08:00,"Chicago, IL",Central Time (US & Canada)
negative,1.0,Lost Luggage,United,hannahcbeck,@united No customer service rep could confirm where my bag was &amp; each gave me different info. Ruined 2 events I had today. #disappointed,2015-02-21 15:42:29-08:00,"Hoboken, NJ",Eastern Time (US & Canada)
negative,1.0,Can't Tell,United,MaxAbrahms,@united We've let you know how to help the millions of customers you've treated like garbage. It's no coincidence ur ranked WORST airline.,2015-02-21 15:41:03-08:00,"Boston, MA",Atlantic Time (Canada)
negative,0.7053,Customer Service Issue,United,hannahcbeck,"@united yes, after landing at 930pm last night. Spoke to 10 baggage claim customer service reps. Finally spoke to one amazing ticket agent.",2015-02-21 15:39:00-08:00,"Hoboken, NJ",Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,United,gerryrard,@united Your social listening capabilities are awful if this is the reply for the context in which you were mentioned @stevelord212,2015-02-21 15:31:49-08:00,New York City,Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,United,MaxAbrahms,@united If you follow me I will DM you my phone # which you can call.,2015-02-21 15:30:31-08:00,"Boston, MA",Atlantic Time (Canada)
positive,0.6533,,United,WendyJaccard,"@united Yes, they did. Must have fixed the broken ramp. Thanks!",2015-02-21 15:25:53-08:00,"Virginia/Metro Washington, DC",Eastern Time (US & Canada)
positive,0.6809,,United,untalMontfort,@united thanks,2015-02-21 15:23:19-08:00,"Mexico City, Mexico",Central Time (US & Canada)
neutral,1.0,,United,SallyM0nster,"@united hey, I missed my outbound flight - can I still use my return ticket?",2015-02-21 15:20:46-08:00,Muswell Hill,London
negative,1.0,Lost Luggage,United,keykeydoodle,@united says @USAirways  is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im  sorry. I want my clothes!!,2015-02-21 15:20:24-08:00,Wonderland,Eastern Time (US & Canada)
negative,1.0,longlines,United,davidblevine,@united seriously? 2-4 hrs to get bags from IAD intl arvls to carousel 2 for custs w/Cancelled Flightled connects? I understand irrops but ridiculous!,2015-02-21 15:20:22-08:00,What day is it?,Quito
negative,1.0,Lost Luggage,United,keykeydoodle,@united @USAirways @AmericanAir @americanone one of you has my bag! Claim 4016688561 and i want it in MGA!!!! Now!!!,2015-02-21 15:18:31-08:00,Wonderland,Eastern Time (US & Canada)
negative,1.0,Can't Tell,United,ZachAlpert,@united you have failed so uncontrollably today that it's beyond repair. I'm beyond livid with your absolute disregard to operations.,2015-02-21 15:17:43-08:00,"Chicago, IL",Central Time (US & Canada)
negative,1.0,Can't Tell,United,luko,@united you have a culture issue,2015-02-21 15:09:32-08:00,Pittsburgh,Quito
negative,1.0,Customer Service Issue,United,Keels2515,@united rep wouldn't rebook. This is such a waste of time and poor communication,2015-02-21 15:09:14-08:00,"Raleigh, NC",Eastern Time (US & Canada)
negative,1.0,Late Flight,United,loracle,@united my flight is Late Flight due to mechanical issues 3 of 4 flights in past 10 days!,2015-02-21 15:08:01-08:00,California,Pacific Time (US & Canada)
negative,1.0,Flight Attendant Complaints,United,luko,@united employees almost seem happy when delivery terrible customer service.,2015-02-21 15:06:22-08:00,Pittsburgh,Quito
neutral,0.6651,,United,BekeAbe,@united can I get your service desk # at IAD?,2015-02-21 15:04:51-08:00,Gooner,Eastern Time (US & Canada)
positive,1.0,,United,eotoro,@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!,2015-02-21 14:55:14-08:00,"iPhone: 0.000000,0.000000",Central Time (US & Canada)
negative,1.0,longlines,United,joshanon,"@United appreciate the early arrival of UA1002, but any chance ORD will ever bring the bags out?",2015-02-21 14:29:34-08:00,"San Francisco, CA",Pacific Time (US & Canada)
neutral,1.0,,United,bradleycfox,@united - it is possible to make a ticket change via Twitter? Traveling internationally and can't make calls... Thanks in advance!,2015-02-21 14:29:22-08:00,"Seattle, WA / 36,000 feet",Pacific Time (US & Canada)
negative,1.0,Damaged Luggage,United,untalMontfort,@united A broken luggage and a mild case of food poisoning from UA5 LHR-IAH. Who can I email about this?,2015-02-21 14:26:49-08:00,"Mexico City, Mexico",Central Time (US & Canada)
negative,1.0,Customer Service Issue,United,apopnj01,@united meant changed planes - i hate seating over wing if u wanted I would have booked it - u will get formal complaint,2015-02-21 14:24:51-08:00,USA,Eastern Time (US & Canada)
neutral,1.0,,United,travelmanphil,@united give me an email address and I'll send the actually screen shot to you.,2015-02-21 14:23:11-08:00,"Dallas, TX",Central Time (US & Canada)
negative,1.0,Flight Booking Problems,United,apopnj01,@united u guys did it again changed ages and double booked seats so I had to I've even though I have platinum and the other person none,2015-02-21 14:23:08-08:00,USA,Eastern Time (US & Canada)
negative,0.6435,Customer Service Issue,United,nicc1217,@united how long does it take to get a response from your customer service about a complaint done through email?,2015-02-21 14:17:40-08:00,Boston MA,Central Time (US & Canada)
positive,1.0,,United,KristinMcNeil,@united thank you for compensating us for our 4 lost bags. We will fly with you again! #UnitedAirlines,2015-02-21 14:10:14-08:00,"Minnesota, USA",Central Time (US & Canada)
negative,1.0,Late Flight,United,gorgeousjack,@united we are sitting on the runway for 2 hours! It is ridiculous!!,2015-02-21 14:09:08-08:00,GORGEOUS UNIVERSE,Quito
negative,1.0,Customer Service Issue,United,GregKuroda,"@united, no, your service here pretty much ruined my day, but thanks for the weak attempt",2015-02-21 14:07:07-08:00,The Garden State,Eastern Time (US & Canada)
negative,1.0,Bad Flight,United,ABBaitCo,"@united what, you forgot to tell them the flight was coming... Thanks for allowing me to miss my connection",2015-02-21 14:04:53-08:00,"Bethlehem, PA",Eastern Time (US & Canada)
negative,0.6452,Can't Tell,United,9kenny5,"@united Such as deodorant, shampoo, toothpaste. Seems like that would be limited to 70oz, correct?",2015-02-21 14:04:44-08:00,England,London
negative,1.0,Bad Flight,United,yajur,@united Why was I forced to check my rollaboard on UA 715? Plenty of room in the overhead next to my seat. http://t.co/5xvNnmLTiW,2015-02-21 14:04:14-08:00,Chicago,Central Time (US & Canada)
negative,1.0,Customer Service Issue,United,Keels2515,@united any help is appreciated. That's a LOOONG wait for help on something that's not his fault,2015-02-21 13:38:54-08:00,"Raleigh, NC",Eastern Time (US & Canada)
negative,1.0,Cancelled Flight,United,Keels2515,@united my husband is supposed to fly RDU to IAD then IAD to FRA leaving in 2 hours. You Cancelled Flighted his flight and there's a 1hr wait on phone,2015-02-21 13:38:19-08:00,"Raleigh, NC",Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,United,dlm_3,@united not sure why u call it customer care.  Should be customer we don't care,2015-02-21 13:36:51-08:00,Global,Eastern Time (US & Canada)
negative,1.0,Cancelled Flight,United,NoahLocke,@united who is in charge of making decisions over there? Cancelled Flightling flight UA1150 was unacceptable. I should be in #Belize right now.,2015-02-21 13:36:05-08:00,"Madison, WI",Pacific Time (US & Canada)
negative,0.6687,Can't Tell,United,jorge_guajardo,@united I fly @AmericanAir normally.  This doesn't happen to me with them.  I'll let your flyers provide their own feedback. Thank you.,2015-02-21 13:34:48-08:00,"Washington, DC",Alaska
positive,1.0,,United,heygorgevents,@united the upgrade to first class was a nice way to fix your earlier mistake. Thank you!,2015-02-21 13:34:35-08:00,"Grand Rapids, Michigan",Central Time (US & Canada)
negative,1.0,Bad Flight,United,ABBaitCo,@united how about plowing the snow at a gate before the plane arrives so we don't sit for 45 minutes after an 8 hr flight.... Fail,2015-02-21 13:31:14-08:00,"Bethlehem, PA",Eastern Time (US & Canada)
positive,1.0,,United,smithnr,@united Rhonda C. at Atlanta airport redeemed you guys. She got us straightened out.,2015-02-21 13:27:59-08:00,"31.790466, -85.971558",Central Time (US & Canada)
negative,1.0,Customer Service Issue,United,GregKuroda,@united the worst customer service in Denver.,2015-02-21 13:20:16-08:00,The Garden State,Eastern Time (US & Canada)
neutral,1.0,,United,9kenny5,@united So what's allowed or what's not allowed to be carried in my checked baggage?,2015-02-21 13:16:08-08:00,England,London
negative,1.0,Can't Tell,United,LisaKothari,@united No wonder the cabin is filthy. #badservice,2015-02-21 13:14:03-08:00,Seattle WA,Pacific Time (US & Canada)
negative,1.0,Flight Attendant Complaints,United,LisaKothari,"@united And then when we asked the stewardess to take the disinfectant wipe as trash she said, ""not with my hands!"" #badservice",2015-02-21 13:13:25-08:00,Seattle WA,Pacific Time (US & Canada)
negative,0.7125,Can't Tell,United,justleon,@united I need #United to be a better airline!!,2015-02-21 13:12:26-08:00,New York City,Eastern Time (US & Canada)
negative,1.0,Can't Tell,United,LisaKothari,"@united Luckily, I had my disinfectant wipes and did your job for you. You're welcome. #badservice",2015-02-21 13:07:32-08:00,Seattle WA,Pacific Time (US & Canada)
negative,1.0,Bad Flight,United,LisaKothari,@united You really should clean the food and coffee stains off of the area around the seats when new passengers come aboard. Gross!,2015-02-21 13:06:07-08:00,Seattle WA,Pacific Time (US & Canada)
neutral,0.6316,,United,nyc2theworld,@united since UA 1226 ORD-EWR is delayed pushing it into meal time does that mean it will be catered with meals in First?,2015-02-21 12:59:12-08:00,One of the C-gates at EWR.,Eastern Time (US & Canada)
negative,0.6821,Bad Flight,United,JoeSchmuck,@united help? Invest more in your planes and your people and less in stock buybacks and executive pay. Maybe then you would not disappoint.,2015-02-21 12:56:38-08:00,San Francisco,Pacific Time (US & Canada)
negative,1.0,Cancelled Flight,United,rpgibson8589,@united ROC flight Cancelled Flightled. Love my snowy drive home with no useful substitutes,2015-02-21 12:55:13-08:00,Rochester NY,Eastern Time (US & Canada)
negative,1.0,Customer Service Issue,United,TheBarnesology,@united that's a crazy long form! You need something other than a video?,2015-02-21 12:51:17-08:00,"Houston, TX",Central Time (US & Canada)
negative,1.0,Cancelled Flight,United,AngelikaGiatras,@united flight just Cancelled Flightled. This is ridiculous,2015-02-21 12:46:51-08:00,"Chicago, IL",Eastern Time (US & Canada)
negative,0.9286,Customer Service Issue,United,screamingbrat,@united You shouldn't page o'head that it's best to call 1-800# - on hold 26+ mins,2015-02-21 12:43:22-08:00,"new york, baby",Eastern Time (US & Canada)
neutral,1.0,,United,setfive,"@united we have developers flying down tmrw morn. w/45 min layover, there is an earlier flight to have 1.5hr layover, can move them up?",2015-02-21 12:39:49-08:00,"Central Sq. Cambridge, MA",Eastern Time (US & Canada)
positive,0.6737,,United,elmoray,@united thanks for the reply.  If you can get me a better seat on my next leg to Munich. That would be nice.,2015-02-21 12:37:57-08:00,"Forest Grove, OR",Pacific Time (US & Canada)
negative,1.0,Customer Service Issue,United,smithnr,@united appreciate getting put on hold for 20min and then getting hung up on because I was requesting help for big group. I'll try #Delta,2015-02-21 12:33:44-08:00,"31.790466, -85.971558",Central Time (US & Canada)
